tasktype,ID,sumscore,nitems,group,gp,tt
wGJTG,28,40,40,immersion,2,4
wGJTG,29,39,39,native,1,4
wGJTG,30,37,40,classroom,3,4
wGJTG,31,34,39,immersion,2,4
wGJTG,32,35,40,classroom,3,4
wGJTG,33,40,40,native,1,4
wGJTG,34,40,40,classroom,3,4
wGJTG,35,40,40,native,1,4
wGJTG,36,39,40,native,1,4
wGJTG,37,38,38,immersion,2,4
wGJTG,38,38,40,native,1,4
wGJTG,39,40,40,classroom,3,4
wGJTG,40,38,39,classroom,3,4
wGJTG,41,38,40,classroom,3,4
wGJTG,42,32,40,classroom,3,4
wGJTG,43,40,40,native,1,4
wGJTG,44,40,40,native,1,4
wGJTG,45,40,40,native,1,4
wGJTG,46,40,40,immersion,2,4
wGJTG,47,39,40,native,1,4
wGJTG,48,39,40,immersion,2,4
wGJTG,49,38,39,classroom,3,4
wGJTG,50,36,38,immersion,2,4
wGJTG,51,38,40,immersion,2,4
wGJTG,52,40,40,native,1,4
wGJTG,53,39,40,classroom,3,4
wGJTG,54,40,40,native,1,4
wGJTG,55,36,39,immersion,2,4
wGJTG,56,36,40,native,1,4
wGJTG,57,35,40,classroom,3,4
wGJTG,58,39,40,immersion,2,4
wGJTG,59,36,40,immersion,2,4
wGJTG,60,39,40,classroom,3,4
wGJTG,61,39,40,native,1,4
wGJTG,62,40,40,immersion,2,4
wGJTG,63,40,40,classroom,3,4
wGJTG,64,39,40,immersion,2,4
wGJTG,65,40,40,classroom,3,4
wGJTG,66,40,40,native,1,4
wGJTG,67,40,40,classroom,3,4
wGJTG,68,37,40,classroom,3,4
wGJTG,69,39,40,native,1,4
wGJTG,70,40,40,native,1,4
wGJTG,71,37,40,immersion,2,4
wGJTG,72,33,40,immersion,2,4
wGJTG,73,39,39,native,1,4
wGJTG,74,40,40,immersion,2,4
wGJTG,75,31,38,classroom,3,4
wGJTG,76,37,39,immersion,2,4
wGJTG,77,38,39,immersion,2,4
wGJTG,78,40,40,native,1,4
wGJTG,79,38,40,classroom,3,4
wGJTG,80,39,39,immersion,2,4
wGJTG,81,40,40,classroom,3,4
wGJTG,82,40,40,native,1,4
wGJTG,83,40,40,immersion,2,4
wGJTG,84,40,40,native,1,4
wGJTG,85,40,40,immersion,2,4
wGJTG,86,40,40,native,1,4
wGJTG,87,39,40,native,1,4
wGJTG,88,38,40,classroom,3,4
wGJTG,89,39,40,native,1,4
wGJTG,90,37,40,native,1,4
wGJTG,91,32,40,classroom,3,4
wGJTG,92,38,40,immersion,2,4
wGJTG,93,36,40,immersion,2,4
wGJTG,94,39,39,immersion,2,4
wGJTG,95,39,40,classroom,3,4
wGJTG,96,38,39,classroom,3,4
wGJTG,97,38,40,classroom,3,4
wGJTG,98,39,40,classroom,3,4
wGJTG,99,37,40,classroom,3,4
wGJTG,100,40,40,native,1,4
wGJTG,101,40,40,classroom,3,4
wGJTG,102,38,40,immersion,2,4
wGJTG,103,37,40,classroom,3,4
wGJTG,104,32,39,classroom,3,4
wGJTG,105,39,40,native,1,4
wGJTG,106,39,40,native,1,4
wGJTG,107,39,40,immersion,2,4
wGJTG,108,36,38,classroom,3,4
wGJTG,109,40,40,immersion,2,4
wGJTG,110,40,40,native,1,4
wGJTG,111,40,40,native,1,4
wGJTG,112,38,40,immersion,2,4
wGJTG,113,39,40,classroom,3,4
wGJTG,114,35,40,classroom,3,4
wGJTG,115,39,39,immersion,2,4
wGJTG,116,39,40,immersion,2,4
wGJTG,117,40,40,classroom,3,4
wGJTG,118,38,40,native,1,4
wGJTG,119,38,40,classroom,3,4
wGJTG,120,36,40,classroom,3,4
wGJTG,121,37,40,immersion,2,4
wGJTG,122,38,40,classroom,3,4
wGJTG,123,39,40,immersion,2,4
wGJTG,124,39,40,native,1,4
wGJTG,125,40,40,immersion,2,4
wGJTG,126,39,40,immersion,2,4
wGJTG,127,39,39,native,1,4
wGJTG,128,39,39,classroom,3,4
wGJTG,129,37,39,classroom,3,4
wGJTG,130,36,39,classroom,3,4
wGJTG,131,39,40,native,1,4
wGJTG,132,40,40,native,1,4
wGJTG,133,40,40,native,1,4
wGJTG,134,39,40,immersion,2,4
wGJTG,135,38,40,immersion,2,4
wGJTU,1,35,40,immersion,2,5
wGJTU,2,29,40,native,1,5
wGJTU,3,35,40,immersion,2,5
wGJTU,4,24,39,classroom,3,5
wGJTU,5,32,40,classroom,3,5
wGJTU,6,32,40,native,1,5
wGJTU,7,38,40,native,1,5
wGJTU,8,31,40,classroom,3,5
wGJTU,9,33,40,native,1,5
wGJTU,10,22,40,classroom,3,5
wGJTU,11,27,39,classroom,3,5
wGJTU,12,35,40,immersion,2,5
wGJTU,13,37,39,native,1,5
wGJTU,14,37,40,immersion,2,5
wGJTU,15,31,40,classroom,3,5
wGJTU,16,26,40,immersion,2,5
wGJTU,17,36,40,native,1,5
wGJTU,18,32,40,immersion,2,5
wGJTU,19,30,40,native,1,5
wGJTU,20,38,40,native,1,5
wGJTU,21,37,39,native,1,5
wGJTU,22,28,40,immersion,2,5
wGJTU,23,39,40,immersion,2,5
wGJTU,24,35,39,classroom,3,5
wGJTU,25,35,40,native,1,5
